Team,Rating
TUB,0.05797432295499186
DEN,0.140699456814513
COT,0.1459800774934239
EUP,0.1712853436281284
MOU,0.18465083745932312
BIE,0.18815936976838304
VOL,0.1887476653542024
FEI,0.23081025423665305
POR,0.2406495339626709
KAR,0.24690989226600413
MID,0.3027995501171098
LEH,0.3141202675906413
NUM,0.31477083320198457
GRF,0.3222643044097588
TBN,0.3252759520742385
PEN,0.33166545532090824
STP,0.3370262448982164
DAR,0.3389221239756786
PAD,0.3407792784843542
BRA,0.3416093177789397
MAD,0.3437250950793819
TON,0.3439833381338862
DOR,0.3469026539853379
HUE,0.3532655246119317
FDU,0.3585929383100466
DIJ,0.3700156190981813
REG,0.3767051255003114
ANG,0.37719830880389676
ING,0.379542572263313
NOV,0.38399478845257756
ARL,0.391976024896603
DUN,0.39693290615212645
FRO,0.3992320532783584
PES,0.39926048705658457
WAT,0.3997839382287203
REA,0.39989849248727216
BOU,0.4057787573580504
LUG,0.4059097084027009
HER,0.40744181558152365
GAJ,0.40858702934636404
CAR,0.4087586899601258
XER,0.4108309269233101
CAP,0.4131910458862273
COR,0.4146223311542063
LAS,0.41998399485388327
MET,0.427541315035565
TEN,0.43118560319909094
BRE,0.43167745018168036
BLA,0.44543126047584175
MOP,0.5798362628662035
OOS,0.6171284257568173
LOD,0.6274972818221046
ODR,0.6334975244894133
ZAW,0.6908104275201897
SPA,0.6973408858030438
TRO,0.7076030383972459
LEC,0.7147201057664935
BIR,0.7169752498379219
LEM,0.7206272252076799
GAE,0.7223795570458436
GRE,0.723642358003031
O-H,0.7346633311725979
BOC,0.7392409449179971
LIV,0.7403538327945537
KAI,0.7411326861581108
WAA,0.7500393673390738
SER,0.7504089718742908
BOA,0.7532224958239314
LEI,0.753344937003013
FAL,0.7548415848458874
BUR,0.7554651418969319
BAR,0.7571261157385244
ELC,0.7601090629002006
EIB,0.7674182212707793
EMP,0.7711909055088066
NAV,0.7803059240031209
STT,0.8020779955155024
POB,0.8028383139675761
LIE,0.8140456281710519
ARK,0.8228625434627235
BAC,0.8242347622775142
CEB,0.8271940141244002
B-M,0.829647747171306
ULE,0.8359178317582304
ZUL,0.8422100406249493
WES,0.847103936997115
WOL,0.8473635893793467
CAM,0.850637929676047
AND,0.8518255287529796
QPR,0.8521513145267269
GUI,0.8527551312945356
KOR,0.8532798449869964
MEC,0.8544216135311873
STL,0.8547906175493705
LOK,0.85497980536543
CES,0.8565917518543319
CRY,0.8575892523900868
AJA,0.8587082144485142
VAD,0.865062179698428
CHA,0.8656116016864148
CLB,0.8661752749731728
VER,0.8674545302976777
ARO,0.8709529474810455
MOR,0.8740203367545661
LEN,0.8744169763148837
LAU,0.8747228851369782
PAR,0.8759467709243018
XAM,0.8825209499113246
BLB,0.8832654934549594
AUX,0.8878026063184924
RKC,0.8941855609544367
MON,0.8943823049068124
WIG,0.8951744607273041
SAS,0.896694623060084
REI,0.8967533762578342
GV,0.8981427569247773
VEN,0.9035564922249251
NAN,0.9038086463283128
SOU,0.9061283531178895
BAS,0.9062090810155911
NOR,0.9075322766062548
WID,0.9083916569239342
ZWO,0.908421341736856
ETG,0.9094812120641517
SAN,0.9109626480685848
CEL,0.9145792671525247
KIL,0.9149695773764239
OLH,0.9150736019809603
SIE,0.9161557361227455
LIL,0.916318693729916
SWA,0.9176758904256016
ROS,0.9179840157781225
WBA,0.9213517133940298
WHU,0.921441447672418
TOR,0.9231101966132342
EXC,0.9236673146564452
NIC,0.9238787156927912
EST,0.9242002015122008
RAN,0.9242354171832587
ROD,0.9245084784352379
CAE,0.9252285253212195
MCI,0.9253057162347466
ZAR,0.9259714193262155
VAL,0.927337910350368
HUL,0.9275310357609624
TOT,0.9276712275571868
LYO,0.9291008190740918
BOL,0.9305514334315398
JOH,0.9305887854581547
ABE,0.9306391476842526
MIR,0.9312326324359522
POG,0.9313652152695028
GAL,0.9323917753309487
SAM,0.93339754830256
AAR,0.9342960427263384
PWA,0.9351626327119199
EVE,0.9356410748255911
CHE,0.9360093691450287
SPG,0.9367685290516716
LOR,0.9368654402323059
PAL,0.9369072813457906
HEE,0.9383003986605912
NAP,0.9383198815971747
ALK,0.9384994692160532
NEC,0.9387837418810303
DUU,0.9391360027989245
RAY,0.9401755412391672
BET,0.9402243314794188
INT,0.940240961226845
AMA,0.9407925429581
BOR,0.940876548952689
SUN,0.9413378531713887
GET,0.9428511754771618
AUG,0.9433752617539168
ETI,0.9436804882137185
FEY,0.9436867495306198
MOT,0.9440358706201746
NEW,0.944481957822923
ALM,0.9445104873435356
